"Date","Price","Open","High","Low","Vol.","Change %"
"09/14/2007","4,165.57","4,148.08","4,177.87","4,079.18","2.47B","0.54%"
"09/13/2007","4,143.11","4,056.18","4,145.11","4,042.96","2.45B","2.66%"
"09/12/2007","4,035.72","3,977.03","4,056.17","3,939.35","2.47B","1.09%"
"09/11/2007","3,992.03","4,182.72","4,199.27","3,968.23","2.80B","-4.33%"
"09/10/2007","4,172.81","4,052.55","4,182.19","4,020.71","2.69B","1.48%"
"09/07/2007","4,111.93","4,186.44","4,205.61","4,099.74","3.34B","-2.21%"
"09/06/2007","4,204.80","4,166.91","4,243.08","4,155.39","3.13B","1.38%"
"09/05/2007","4,147.75","4,162.57","4,191.83","4,074.29","2.66B","-0.46%"
"09/04/2007","4,166.85","4,226.94","4,245.94","4,144.54","3.42B","-1.74%"
"09/03/2007","4,240.64","4,176.86","4,252.75","4,176.86","3.22B","2.18%"
"08/31/2007","4,150.17","4,118.81","4,158.99","4,070.87","2.52B","0.95%"
"08/30/2007","4,111.29","4,104.51","4,147.96","4,086.62","2.25B","0.76%"
"08/29/2007","4,080.08","4,113.90","4,158.74","4,059.01","2.77B","-1.63%"
"08/28/2007","4,147.86","4,119.24","4,164.82","4,058.00","3.14B","0.32%"
"08/27/2007","4,134.69","4,128.74","4,188.18","4,091.61","3.54B","0.73%"
"08/24/2007","4,104.66","4,037.18","4,120.75","4,032.25","3.02B","2.28%"
"08/23/2007","4,013.34","3,962.64","4,033.74","3,925.24","2.45B","1.61%"
"08/22/2007","3,949.83","3,839.10","3,972.03","3,830.50","2.72B","1.18%"
"08/21/2007","3,903.66","3,851.38","3,924.82","3,849.42","3.22B","1.90%"
"08/20/2007","3,831.05","3,718.20","3,831.50","3,709.52","3.03B","6.23%"
"08/17/2007","3,606.53","3,674.42","3,758.54","3,597.59","3.05B","-2.50%"
"08/16/2007","3,698.95","3,775.36","3,782.85","3,660.61","3.03B","-2.64%"
"08/15/2007","3,799.24","3,782.62","3,823.94","3,712.86","2.91B","0.32%"
"08/14/2007","3,787.11","3,740.01","3,793.68","3,715.26","2.92B","1.24%"
"08/13/2007","3,740.57","3,717.53","3,796.17","3,690.62","4.83B","0.88%"
"08/10/2007","3,707.92","3,700.92","3,739.02","3,634.99","3.56B","0.09%"
"08/09/2007","3,704.58","3,598.21","3,723.48","3,596.18","3.74B","3.01%"
"08/08/2007","3,596.28","3,578.24","3,654.44","3,533.77","4.89B","-0.45%"
"08/07/2007","3,612.70","3,606.59","3,641.23","3,562.48","3.47B","0.49%"
"08/06/2007","3,595.03","3,552.00","3,608.40","3,539.07","3.15B","2.13%"
"08/03/2007","3,520.14","3,390.01","3,521.97","3,390.01","3.69B","4.69%"
"08/02/2007","3,362.46","3,298.63","3,388.51","3,279.47","2.53B","2.47%"
"08/01/2007","3,281.34","3,408.53","3,430.05","3,267.68","3.21B","-3.26%"
"07/31/2007","3,391.86","3,347.62","3,394.88","3,314.76","2.72B","0.96%"
"07/30/2007","3,359.71","3,294.68","3,372.61","3,290.85","3.20B","2.01%"
"07/27/2007","3,293.38","3,285.68","3,306.15","3,249.35","2.62B","-0.65%"
"07/26/2007","3,315.02","3,323.37","3,336.94","3,286.49","2.59B","0.31%"
"07/25/2007","3,304.75","3,229.29","3,305.91","3,229.24","2.81B","2.41%"
"07/24/2007","3,226.96","3,242.20","3,280.75","3,210.00","3.20B","0.04%"
"07/23/2007","3,225.64","3,133.28","3,227.49","3,133.28","4.10B","3.96%"
"07/20/2007","3,102.79","2,972.68","3,104.77","2,972.68","2.57B","4.38%"
"07/19/2007","2,972.50","2,971.36","2,998.42","2,953.84","1.34B","-0.21%"
"07/18/2007","2,978.90","2,944.07","3,017.91","2,932.12","2.35B","0.76%"
"07/17/2007","2,956.50","2,872.81","2,969.20","2,847.40","1.40B","2.71%"
"07/16/2007","2,878.36","2,974.92","2,980.92","2,877.54","1.13B","-3.10%"
"07/13/2007","2,970.34","2,976.54","2,981.48","2,939.78","1.18B","0.03%"
"07/12/2007","2,969.57","2,945.14","2,985.04","2,932.43","1.34B","1.09%"
"07/11/2007","2,937.60","2,920.74","2,944.95","2,897.32","1.32B","0.02%"
"07/10/2007","2,936.94","2,957.06","2,997.78","2,927.73","2.24B","-0.07%"
"07/09/2007","2,939.10","2,883.54","2,953.13","2,858.92","2.15B","2.74%"
"07/06/2007","2,860.74","2,733.69","2,862.12","2,700.76","1.92B","4.18%"
"07/05/2007","2,745.97","2,843.69","2,860.09","2,743.42","1.73B","-4.58%"
"07/04/2007","2,877.80","2,961.38","2,965.61","2,865.00","1.53B","-2.62%"
"07/03/2007","2,955.21","2,922.10","2,960.64","2,903.30","2.04B","1.52%"
"07/02/2007","2,910.89","2,906.14","2,943.73","2,828.36","2.18B","-0.17%"
